,Name,Model_Num,N_models,Num_features,Distance_Num,Phi_Val
152,direct_search_100_200_500,152,250,100,22,0.6327661275863647
153,direct_search_100_200_500,153,250,100,31,-0.294366717338562
154,direct_search_100_200_500,154,250,100,6,-0.3431701362133026
155,direct_search_100_200_500,155,250,100,31,-0.6617799401283264
156,direct_search_100_200_500,156,250,100,6,-0.4929812550544739
157,direct_search_100_200_500,157,250,100,67,-1.4386656284332275
158,direct_search_100_200_500,158,250,100,1,-0.2410014420747757
159,direct_search_100_200_500,159,250,100,50,-1.8155382871627808
160,direct_search_100_200_500,160,250,100,7,0.19796468317508698
161,direct_search_100_200_500,161,250,100,5,-0.31968966126441956
162,direct_search_100_200_500,162,250,100,3,-1.0810221433639526
163,direct_search_100_200_500,163,250,100,7,-0.2785920798778534
164,direct_search_100_200_500,164,250,100,32,-1.3180723190307617
165,direct_search_100_200_500,165,250,100,76,-0.6341758966445923
166,direct_search_100_200_500,166,250,100,33,0.09927724301815033
167,direct_search_100_200_500,167,250,100,4,0.22468434274196625
168,direct_search_100_200_500,168,250,100,42,-0.8933927416801453
169,direct_search_100_200_500,169,250,100,18,-0.8321973085403442
170,direct_search_100_200_500,170,250,100,20,0.8758289217948914
171,direct_search_100_200_500,171,250,100,20,-1.7461400032043457
172,direct_search_100_200_500,172,250,100,1,0.5388451814651489
173,direct_search_100_200_500,173,250,100,13,0.24416086077690125
174,direct_search_100_200_500,174,250,100,4,-1.4220154285430908
175,direct_search_100_200_500,175,250,100,33,0.6316691040992737
176,direct_search_100_200_500,176,250,100,1,0.09993313997983932
177,direct_search_100_200_500,177,250,100,2,0.21119600534439087
178,direct_search_100_200_500,178,250,100,26,-0.08909263461828232
179,direct_search_100_200_500,179,250,100,33,-0.41188377141952515
180,direct_search_100_200_500,180,250,100,22,-0.3002697229385376
181,direct_search_100_200_500,181,250,100,15,-0.3519223928451538
182,direct_search_100_200_500,182,250,100,51,1.4389899969100952
183,direct_search_100_200_500,183,250,100,22,-0.44914835691452026
184,direct_search_100_200_500,184,250,100,17,1.3127293586730957
185,direct_search_100_200_500,185,250,100,1,-0.1782127469778061
186,direct_search_100_200_500,186,250,100,3,-0.44565683603286743
187,direct_search_100_200_500,187,250,100,18,-1.0139600038528442
188,direct_search_100_200_500,188,250,100,85,-0.7093475461006165
189,direct_search_100_200_500,189,250,100,26,-1.0288039445877075
190,direct_search_100_200_500,190,250,100,19,0.0627698227763176
191,direct_search_100_200_500,191,250,100,21,0.9740648865699768
192,direct_search_100_200_500,192,250,100,34,0.38696691393852234
193,direct_search_100_200_500,193,250,100,30,-0.6746023297309875
194,direct_search_100_200_500,194,250,100,2,0.3801208436489105
195,direct_search_100_200_500,195,250,100,2,0.018142951652407646
196,direct_search_100_200_500,196,250,100,10,-1.4309139251708984
197,direct_search_100_200_500,197,250,100,77,0.6669108867645264
198,direct_search_100_200_500,198,250,100,2,0.08634313941001892
199,direct_search_100_200_500,199,250,100,19,-0.28814414143562317
200,direct_search_100_200_500,200,250,100,2,-0.2051202356815338
201,direct_search_100_200_500,201,250,100,29,0.39644262194633484
202,direct_search_100_200_500,202,250,100,3,-0.5449874401092529
203,direct_search_100_200_500,203,250,100,52,0.3154524862766266
204,direct_search_100_200_500,204,250,100,13,-0.34454473853111267
205,direct_search_100_200_500,205,250,100,12,-0.1400095373392105
206,direct_search_100_200_500,206,250,100,14,-0.6512214541435242
207,direct_search_100_200_500,207,250,100,6,0.8059206008911133
208,direct_search_100_200_500,208,250,100,32,-0.8735184669494629
209,direct_search_100_200_500,209,250,100,48,-0.15895292162895203
210,direct_search_100_200_500,210,250,100,21,-0.5519115924835205
211,direct_search_100_200_500,211,250,100,22,-0.8619600534439087
212,direct_search_100_200_500,212,250,100,1,0.10970264673233032
213,direct_search_100_200_500,213,250,100,7,0.8409062623977661
214,direct_search_100_200_500,214,250,100,32,1.2207355499267578
215,direct_search_100_200_500,215,250,100,27,0.7372118830680847
216,direct_search_100_200_500,216,250,100,20,1.0103724002838135
217,direct_search_100_200_500,217,250,100,38,0.7045668363571167
218,direct_search_100_200_500,218,250,100,1,0.011629130691289902
219,direct_search_100_200_500,219,250,100,13,-0.8121537566184998
220,direct_search_100_200_500,220,250,100,29,0.24322500824928284
221,direct_search_100_200_500,221,250,100,2,0.3900323510169983
222,direct_search_100_200_500,222,250,100,9,0.0547732412815094
223,direct_search_100_200_500,223,250,100,15,0.6691612601280212
224,direct_search_100_200_500,224,250,100,22,-0.09498278796672821
225,direct_search_100_200_500,225,250,100,11,1.4176169633865356
226,direct_search_100_200_500,226,250,100,1,0.10499074310064316
227,direct_search_100_200_500,227,250,100,7,-0.21950440108776093
228,direct_search_100_200_500,228,250,100,53,1.2258713245391846
229,direct_search_100_200_500,229,250,100,5,-0.35841378569602966
230,direct_search_100_200_500,230,250,100,12,0.5942105054855347
231,direct_search_100_200_500,231,250,100,1,0.009983520954847336
232,direct_search_100_200_500,232,250,100,45,0.1286039799451828
233,direct_search_100_200_500,233,250,100,16,-0.99977046251297
234,direct_search_100_200_500,234,250,100,14,-0.6782360672950745
235,direct_search_100_200_500,235,250,100,4,-0.368292897939682
236,direct_search_100_200_500,236,250,100,39,-1.2950046062469482
237,direct_search_100_200_500,237,250,100,56,-1.1602413654327393
238,direct_search_100_200_500,238,250,100,24,-0.7188171744346619
239,direct_search_100_200_500,239,250,100,14,-0.7912722229957581
240,direct_search_100_200_500,240,250,100,60,-1.5506582260131836
241,direct_search_100_200_500,241,250,100,12,1.6720099449157715
242,direct_search_100_200_500,242,250,100,2,0.027023714035749435
243,direct_search_100_200_500,243,250,100,7,-0.1730305552482605
244,direct_search_100_200_500,244,250,100,1,-0.0032940730452537537
245,direct_search_100_200_500,245,250,100,8,-0.05203719064593315
246,direct_search_100_200_500,246,250,100,29,-1.4730677604675293
247,direct_search_100_200_500,247,250,100,45,-0.908079206943512
248,direct_search_100_200_500,248,250,100,35,1.4002535343170166
249,direct_search_100_200_500,249,250,100,49,-1.490027666091919
250,direct_search_100_200_500,250,250,200,6,-0.2598720192909241
251,direct_search_100_200_500,251,250,200,4,0.3210003972053528
